# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, 0.000000
0.020017, 0.000126, 0.000102
0.040066, 0.000252, 0.000204
0.060149, 0.000379, 0.000306
0.080266, 0.000506, 0.000409
0.100416, 0.000634, 0.000512
0.120599, 0.000762, 0.000616
0.140817, 0.000891, 0.000721
0.161067, 0.001022, 0.000826
0.181352, 0.001153, 0.000932
0.201671, 0.001286, 0.001039
0.222023, 0.001420, 0.001147
0.242410, 0.001555, 0.001257
0.262831, 0.001693, 0.001367
0.283286, 0.001832, 0.001479
0.303775, 0.001973, 0.001593
0.324299, 0.002116, 0.001708
0.344857, 0.002261, 0.001825
0.365449, 0.002409, 0.001944
0.386077, 0.002559, 0.002064
0.406739, 0.002713, 0.002187
0.427436, 0.002869, 0.002313
0.448168, 0.003029, 0.002441
0.468935, 0.003193, 0.002572
0.489737, 0.003361, 0.002706
0.510574, 0.003532, 0.002843
0.531447, 0.003709, 0.002984
0.552355, 0.003890, 0.003129
0.573298, 0.004077, 0.003278
0.594277, 0.004270, 0.003431
0.615292, 0.004469, 0.003589
0.636342, 0.004675, 0.003753
0.657428, 0.004888, 0.003922
0.678550, 0.005110, 0.004098
0.699708, 0.005340, 0.004280
0.720903, 0.005580, 0.004470
0.742133, 0.005831, 0.004668
0.763400, 0.006094, 0.004876
0.784703, 0.006369, 0.005093
0.806042, 0.006659, 0.005322
0.827418, 0.006964, 0.005562
0.848831, 0.007287, 0.005817
0.870280, 0.007629, 0.006086
0.891767, 0.007993, 0.006372
0.913290, 0.008381, 0.006677
0.934850, 0.008796, 0.007003
0.956448, 0.009240, 0.007352
0.978083, 0.009717, 0.007727
0.999755, 0.010230, 0.008130
1.021464, 0.010783, 0.008563
1.043211, 0.011377, 0.009029
1.064996, 0.012016, 0.009531
1.086818, 0.012702, 0.010068
1.108678, 0.013434, 0.010641
1.130576, 0.014214, 0.011252
1.152512, 0.015041, 0.011898
1.174487, 0.015914, 0.012580
1.196499, 0.016835, 0.013298
1.218550, 0.017803, 0.014053
1.240639, 0.018820, 0.014845
1.262767, 0.019890, 0.015677
1.284933, 0.021016, 0.016551
1.307138, 0.022201, 0.017471
1.329382, 0.023449, 0.018439
1.351664, 0.024764, 0.019460
1.373986, 0.026149, 0.020535
1.396347, 0.027605, 0.021666
1.418747, 0.029134, 0.022856
1.441186, 0.030736, 0.024104
1.463665, 0.032409, 0.025408
1.486184, 0.034148, 0.026765
1.508742, 0.035948, 0.028170
1.531339, 0.037800, 0.029613
1.553977, 0.039691, 0.031084
1.576655, 0.041608, 0.032570
1.599372, 0.043534, 0.034056
1.622130, 0.045449, 0.035526
1.644928, 0.047336, 0.036963
1.667767, 0.049177, 0.038352
1.690646, 0.050961, 0.039681
1.713565, 0.052677, 0.040940
1.736525, 0.054326, 0.042129
1.759526, 0.055912, 0.043248
1.782568, 0.057444, 0.044307
1.805651, 0.058938, 0.045316
1.828776, 0.060407, 0.046289
1.851941, 0.061867, 0.047237
1.875148, 0.063327, 0.048170
1.898396, 0.064796, 0.049095
1.921686, 0.066281, 0.050014
1.945017, 0.067787, 0.050932
1.968391, 0.069322, 0.051852
1.991806, 0.070899, 0.052779
2.015263, 0.072534, 0.053724
2.038763, 0.074247, 0.054700
2.062305, 0.076064, 0.055723
2.085889, 0.078011, 0.056812
2.109515, 0.080112, 0.057983
2.133184, 0.082389, 0.059254
2.156896, 0.084861, 0.060635
2.180651, 0.087540, 0.062138
2.204449, 0.090430, 0.063765
2.228289, 0.093532, 0.065517
2.252173, 0.096838, 0.067392
2.276101, 0.100333, 0.069380
2.300071, 0.103998, 0.071469
2.324086, 0.107805, 0.073642
2.348143, 0.111721, 0.075876
2.372245, 0.115711, 0.078144
2.396391, 0.119743, 0.080421
2.420580, 0.123789, 0.082681
2.444814, 0.127837, 0.084906
2.469092, 0.131893, 0.087090
2.493414, 0.135987, 0.089242
2.517781, 0.140172, 0.091388
2.542192, 0.144516, 0.093571
2.566649, 0.149096, 0.095852
2.591150, 0.153985, 0.098302
2.615696, 0.159231, 0.100998
2.640287, 0.164848, 0.104016
2.664923, 0.170797, 0.107432
2.689605, 0.176971, 0.111312
2.714332, 0.183176, 0.115712
2.739105, 0.189109, 0.120670
2.763924, 0.194345, 0.126190
2.788789, 0.198335, 0.132221
2.813699, 0.200447, 0.138621
2.838656, 0.200057, 0.145116
2.863659, 0.196691, 0.151253
2.888708, 0.190188, 0.156388
2.913804, 0.180794, 0.159733
2.938946, 0.169150, 0.160506
2.964135, 0.156130, 0.158167
2.989371, 0.142647, 0.152636
3.014654, 0.129467, 0.144365
3.039985, 0.117131, 0.134198
3.065362, 0.105948, 0.123114
3.090787, 0.096037, 0.111977
3.116260, 0.087395, 0.101413
3.141780, 0.079945, 0.091789
3.167348, 0.073576, 0.083266
3.192965, 0.068167, 0.075870
3.218629, 0.063606, 0.069543
3.244341, 0.059789, 0.064193
3.270102, 0.056627, 0.059716
3.295911, 0.054047, 0.056012
3.321769, 0.051986, 0.052987
3.347676, 0.050389, 0.050561
3.373632, 0.049209, 0.048659
3.399636, 0.048399, 0.047214
3.425690, 0.047910, 0.046161
3.451793, 0.047695, 0.045439
3.477946, 0.047702, 0.044990
3.504149, 0.047886, 0.044758
3.530401, 0.048202, 0.044698
3.556703, 0.048616, 0.044769
3.583055, 0.049101, 0.044942
3.609457, 0.049642, 0.045197
3.635910, 0.050230, 0.045522
3.662413, 0.050864, 0.045911
3.688966, 0.051544, 0.046362
3.715571, 0.052271, 0.046871
3.742226, 0.053049, 0.047440
3.768933, 0.053877, 0.048068
3.795690, 0.054755, 0.048754
3.822499, 0.055682, 0.049494
3.849360, 0.056650, 0.050283
3.876272, 0.057652, 0.051115
3.903236, 0.058681, 0.051980
3.930252, 0.059727, 0.052871
3.957320, 0.060787, 0.053783
3.984440, 0.061858, 0.054715
4.011613, 0.062942, 0.055667
4.038838, 0.064045, 0.056644
4.066116, 0.065175, 0.057651
4.093446, 0.066340, 0.058697
4.120830, 0.067552, 0.059787
4.148267, 0.068817, 0.060927
4.175757, 0.070136, 0.062115
4.203301, 0.071509, 0.063349
4.230898, 0.072929, 0.064624
4.258550, 0.074393, 0.065933
4.286255, 0.075901, 0.067274
4.314014, 0.077456, 0.068647
4.341827, 0.079070, 0.070057
4.369695, 0.080759, 0.071516
4.397618, 0.082542, 0.073036
4.425595, 0.084435, 0.074630
4.453627, 0.086438, 0.076301
4.481714, 0.088538, 0.078042
4.509857, 0.090707, 0.079832
4.538054, 0.092900, 0.081639
4.566308, 0.095074, 0.083427
4.594617, 0.097187, 0.085163
4.622982, 0.099215, 0.086825
4.651403, 0.101156, 0.088408
4.679880, 0.103024, 0.089923
4.708414, 0.104851, 0.091395
4.737004, 0.106676, 0.092856
4.765651, 0.108540, 0.094341
4.794355, 0.110486, 0.095886
4.823116, 0.112558, 0.097527
4.851934, 0.114796, 0.099298
4.880809, 0.117234, 0.101225
4.909742, 0.119892, 0.103322
4.938733, 0.122770, 0.105585
4.967782, 0.125846, 0.107996
4.996889, 0.129089, 0.110525
5.026054, 0.132465, 0.113142
5.055277, 0.135951, 0.115830
5.084559, 0.139539, 0.118588
5.113900, 0.143236, 0.121430
5.143300, 0.147056, 0.124386
5.172759, 0.151013, 0.127490
5.202277, 0.155120, 0.130777
5.231855, 0.159385, 0.134281
5.261493, 0.163801, 0.138023
5.291190, 0.168340, 0.142009
5.320948, 0.172951, 0.146221
5.350766, 0.177551, 0.150615
5.380644, 0.182040, 0.155127
5.410582, 0.186319, 0.159684
5.440582, 0.190301, 0.164209
5.470642, 0.193919, 0.168633
5.500764, 0.197123, 0.172882
5.530947, 0.199874, 0.176885
5.561191, 0.202156, 0.180570
5.591498, 0.203981, 0.183882
5.621866, 0.205403, 0.186798
5.652296, 0.206506, 0.189326
5.682789, 0.207377, 0.191503
5.713343, 0.208073, 0.193375
5.743961, 0.208596, 0.194973
5.774642, 0.208889, 0.196300
5.805385, 0.208862, 0.197336
5.836192, 0.208441, 0.198069
5.867062, 0.207604, 0.198517
5.897996, 0.206404, 0.198754
5.928994, 0.204957, 0.198899
5.960056, 0.203423, 0.199110
5.991182, 0.201973, 0.199551
6.022372, 0.200756, 0.200368
6.053627, 0.199879, 0.201652
6.084947, 0.199395, 0.203425
6.116332, 0.199315, 0.205631
6.147782, 0.199648, 0.208168
6.179298, 0.200423, 0.210929
6.210879, 0.201692, 0.213842
6.242527, 0.203512, 0.216881
6.274240, 0.205919, 0.220053
6.306019, 0.208917, 0.223388
6.337865, 0.212492, 0.226917
6.369778, 0.216633, 0.230672
6.401758, 0.221344, 0.234688
6.433804, 0.226649, 0.239002
6.465918, 0.232576, 0.243647
6.498100, 0.239155, 0.248648
6.530349, 0.246413, 0.254020
6.562666, 0.254367, 0.259774
6.595052, 0.263021, 0.265902
6.627505, 0.272363, 0.272372
6.660028, 0.282365, 0.279110
6.692619, 0.292989, 0.286000
6.725279, 0.304183, 0.292899
6.758009, 0.315869, 0.299642
6.790808, 0.327912, 0.306051
6.823676, 0.340084, 0.311931
6.856615, 0.352051, 0.317074
6.889624, 0.363405, 0.321302
6.922703, 0.373760, 0.324508
6.955853, 0.382862, 0.326701
6.989073, 0.390632, 0.327990
7.022365, 0.397128, 0.328544
7.055728, 0.402446, 0.328531
7.089162, 0.406655, 0.328096
7.122668, 0.409787, 0.327370
7.156246, 0.411831, 0.326471
7.189897, 0.412738, 0.325486
7.223619, 0.412444, 0.324466
7.257415, 0.410935, 0.323439
7.291283, 0.408307, 0.322433
7.325225, 0.404798, 0.321497
7.359239, 0.400749, 0.320710
7.393328, 0.396548, 0.320178
7.427490, 0.392567, 0.320013
7.461727, 0.389118, 0.320316
7.496037, 0.386450, 0.321176
7.530423, 0.384748, 0.322665
7.564883, 0.384136, 0.324832
7.599418, 0.384666, 0.327689
7.634029, 0.386330, 0.331204
7.668715, 0.389077, 0.335310
7.703477, 0.392862, 0.339946
7.738314, 0.397716, 0.345115
7.773229, 0.403813, 0.350954
7.808220, 0.411490, 0.357758
7.843287, 0.421188, 0.365939
7.878432, 0.433333, 0.375917
7.913654, 0.448238, 0.388027
7.948953, 0.466101, 0.402506
7.984331, 0.487079, 0.419544
8.019786, 0.511370, 0.439374
8.055320, 0.539242, 0.462300
8.090933, 0.570955, 0.488659
8.126624, 0.606620, 0.518735
8.162394, 0.646046, 0.552653
8.198244, 0.688603, 0.590261
8.234174, 0.733132, 0.631023
8.270183, 0.777948, 0.673960
8.306273, 0.820905, 0.717621
8.342443, 0.859478, 0.760059
8.378694, 0.890954, 0.798855
8.415025, 0.912770, 0.831294
8.451438, 0.922964, 0.854710
8.487933, 0.920567, 0.866926
8.524509, 0.905830, 0.866696
8.561168, 0.880209, 0.854042
8.597909, 0.846037, 0.830285
8.634732, 0.806009, 0.797707
8.671639, 0.762740, 0.759044
8.708629, 0.718544, 0.717057
8.745702, 0.675292, 0.674195
8.782859, 0.634319, 0.632368
8.820100, 0.596469, 0.592918
8.857425, 0.562206, 0.556701
8.894835, 0.531689, 0.524171
8.932330, 0.504808, 0.495419
8.969910, 0.481256, 0.470261
9.007575, 0.460642, 0.448352
9.045327, 0.442563, 0.429289
9.083164, 0.426631, 0.412673
9.121088, 0.412464, 0.398120
9.159098, 0.399675, 0.385241
9.197196, 0.387918, 0.373677
9.235380, 0.376967, 0.363174
9.273653, 0.366724, 0.353619
9.312013, 0.357156, 0.344983
9.350461, 0.348226, 0.337257
9.388998, 0.339867, 0.330420
9.427624, 0.331983, 0.324424
9.466338, 0.324462, 0.319194
9.505142, 0.317180, 0.314615
9.544036, 0.310035, 0.310549
9.583020, 0.303001, 0.306890
9.622094, 0.296173, 0.303650
9.661259, 0.289728, 0.300957
9.700515, 0.283800, 0.298940
9.739862, 0.278377, 0.297598
9.779300, 0.273316, 0.296792
9.818831, 0.268431, 0.296330
9.858454, 0.263596, 0.296046
9.898169, 0.258828, 0.295881
9.937977, 0.254293, 0.295894
9.977879, 0.250199, 0.296171
10.017874, 0.246651, 0.296667
10.057963, 0.243600, 0.297142
10.098146, 0.240895, 0.297208
10.138423, 0.238353, 0.296417
10.178796, 0.235834, 0.294388
10.219264, 0.233298, 0.290949
10.259827, 0.230798, 0.286216
10.300486, 0.228447, 0.280561
10.341241, 0.226380, 0.274512
10.382093, 0.224722, 0.268617
10.423042, 0.223556, 0.263324
10.464088, 0.222921, 0.258906
10.505232, 0.222796, 0.255452
10.546473, 0.223094, 0.252884
10.587813, 0.223677, 0.251029
10.629252, 0.224427, 0.249724
10.670789, 0.225288, 0.248867
10.712426, 0.226243, 0.248396
10.754163, 0.227290, 0.248251
10.796000, 0.228444, 0.248387
10.837937, 0.229741, 0.248807
10.879975, 0.231207, 0.249526
10.922114, 0.232829, 0.250532
10.964355, 0.234558, 0.251772
11.006697, 0.236320, 0.253169
11.049142, 0.238018, 0.254608
11.091689, 0.239534, 0.255954
11.134340, 0.240777, 0.257098
11.177094, 0.241734, 0.258017
11.219951, 0.242481, 0.258778
11.262913, 0.243154, 0.259506
11.305979, 0.243890, 0.260331
11.349150, 0.244769, 0.261335
11.392427, 0.245772, 0.262518
11.435809, 0.246800, 0.263803
11.479297, 0.247758, 0.265099
11.522892, 0.248623, 0.266383
11.566593, 0.249446, 0.267696
11.610402, 0.250290, 0.269087
11.654318, 0.251178, 0.270554
11.698342, 0.252074, 0.272029
11.742475, 0.252881, 0.273391
11.786717, 0.253431, 0.274456
11.831067, 0.253516, 0.275005
11.875528, 0.253022, 0.274907
11.920098, 0.252038, 0.274239
11.964779, 0.250843, 0.273284
12.009571, 0.249774, 0.272412
12.054474, 0.249084, 0.271916
12.099488, 0.248877, 0.271925
12.144615, 0.249151, 0.272435
12.189854, 0.249846, 0.273380
12.235207, 0.250850, 0.274658
12.280672, 0.252017, 0.276140
12.326252, 0.253216, 0.277695
12.371945, 0.254356, 0.279212
12.417754, 0.255383, 0.280603
12.463677, 0.256278, 0.281828
12.509716, 0.257072, 0.282914
12.555871, 0.257846, 0.283945
12.602142, 0.258681, 0.285012
12.648530, 0.259573, 0.286106
12.695035, 0.260387, 0.287062
12.741658, 0.260959, 0.287654
12.788399, 0.261246, 0.287796
12.835259, 0.261396, 0.287632
12.882238, 0.261647, 0.287444
12.929336, 0.262165, 0.287450
12.976555, 0.262978, 0.287706
13.023894, 0.264057, 0.288201
13.071353, 0.265390, 0.288939
13.118935, 0.266938, 0.289914
13.166637, 0.268602, 0.291070
13.214463, 0.270276, 0.292355
13.262411, 0.271910, 0.293780
13.310482, 0.273501, 0.295389
13.358677, 0.275099, 0.297249
13.406996, 0.276783, 0.299432
13.455440, 0.278558, 0.301917
13.504009, 0.280283, 0.304496
13.552703, 0.281718, 0.306841
13.601524, 0.282636, 0.308646
13.650471, 0.282908, 0.309716
13.699546, 0.282523, 0.309991
13.748748, 0.281575, 0.309529
13.798078, 0.280252, 0.308503
13.847537, 0.278776, 0.307172
13.897125, 0.277351, 0.305794
13.946843, 0.276106, 0.304531
13.996690, 0.275081, 0.303411
14.046669, 0.274248, 0.302379
14.096778, 0.273550, 0.301375
14.147020, 0.272932, 0.300370
14.197393, 0.272301, 0.299304
14.247899, 0.271460, 0.298001
14.298538, 0.270140, 0.296185
14.349311, 0.268169, 0.293670
14.400219, 0.265607, 0.290520
14.451261, 0.262677, 0.286976
14.502439, 0.259607, 0.283271
14.553752, 0.256531, 0.279526
14.605202, 0.253525, 0.275803
14.656789, 0.250707, 0.272242
14.708514, 0.248281, 0.269119
14.760376, 0.246466, 0.266746
14.812378, 0.245330, 0.265254
14.864518, 0.244708, 0.264488
14.916799, 0.244268, 0.264076
