E	P1	E	P2
465.05	0.346050861489108	464.95	0
465.15	0.296124269157138	465.05	0
465.25	0.285032596885187	465.15	0
465.35	0.161859704040979	465.25	0
465.45	0.207210120556734	465.35	0
465.55	0.367491074662389	465.45	0
465.65	0.29032538676463	465.55	0
465.75	0.284955308635588	465.65	0
465.85	0.383637527810835	465.75	0.0138542219798025
465.95	0.354455554405754	465.85	0.00923138871732347
466.05	0.322249961194184	465.95	0.0296506749873665
466.15	0.273086226522481	466.05	-0.0370661511682936
466.25	0.301865589589693	466.15	-0.0284786113628889
466.35	0.289183202255911	466.25	-0.0317819185202416
466.45	0.354006053707249	466.35	-0.0114779776849096
466.55	0.352997102499094	466.45	0.00580201974829348
466.65	0.237629029337197	466.55	-0.037952498215274
466.75	0.228578219589176	466.65	0.038976971019259
466.85	0.202400786464532	466.75	-0.0384810979473646
466.95	0.203924561494283	466.85	-0.0984883170635844
467.05	0.299583160863041	466.95	0.0291177437855441
467.15	0.22931197288767	467.05	-0.0239368247118369
467.25	0.262732834894189	467.15	-0.0507043451058403
467.35	0.357042608785637	467.25	0.0306461109016676
467.45	0.305680524654628	467.35	0.0139731128027016
467.55	0.364874915920733	467.45	0.0747704722104132
467.65	0.313911238164226	467.55	0.0679742357763357
467.75	0.35320730066746	467.65	0.101941300563893
467.85	0.310889235266725	467.75	0.0463151224442323
467.95	0.330612614477156	467.85	0.00977567799533164
468.05	0.25623965178248	467.95	0.0374133104460612
468.15	0.246679839085218	468.05	0.0248947212217953
468.25	0.202948595229472	468.15	-0.0672059613857495
468.35	0.314771433745537	468.25	0.00788216798081319
468.45	0.305167964505614	468.35	0.0389235495592328
468.55	0.373379857194598	468.45	0.0458575909007051
468.65	0.173322295234646	468.55	-0.025047766485654
468.75	0.423869457235991	468.65	0.128882561021585
468.85	0.0914475216019041	468.75	-0.0768070651084071
468.95	0.323676074921095	468.85	-0.0285089316510119
469.05	0.148753363170694	468.95	-0.0689966230578572
469.15	0.256745420913748	469.05	-0.0273572419767544
469.25	0.237082837481244	469.15	0.0283975968364228
469.35	0.211121746779117	469.25	-0.025601873761721
469.45	0.219759597971749	469.35	-0.00404713280767472
469.55	0.2183127878098	469.45	-0.0574482830535257
469.65	0.0268358708025043	469.55	-0.121393289430412
469.75	0.249935323640503	469.65	-0.00505291612189077
469.85	0.246124592538935	469.75	0.0325328670319005
469.95	0.310297446577327	469.85	0.0309703294323368
470.05	0.293288534174988	469.95	0.0427859371616039
470.15	0.159396181507735	470.05	-0.0388938709703294
470.25	0.367455502664666	470.15	0.007617739774924
470.35	0.191974633931805	470.25	-0.0379175256078095
470.45	0.278184987323434	470.35	0.0397996294187007
470.55	0.298734930408237	470.45	0.0236300924849
470.65	0.262905197392249	470.55	0.004191819939199
470.75	0.265524266570083	470.65	-0.00806195605964594
470.85	0.28457436487815	470.75	0.0493753860221868
470.95	0.24197269364102	470.85	0.00317955546286567
471.05	0.365809489315465	470.95	0.0425833206330363
471.15	0.192257916386402	471.05	0.00710529482068518
471.25	0.22152526258602	471.15	-0.0102334501760662
471.35	0.21277907849123	471.25	-0.0345359311456737
471.45	0.11239457753402	471.35	-0.0282381345803688
471.55	0.263289698349459	471.45	-0.00312870079971765
471.65	0.344728229937393	471.55	0.0735570189862757
471.75	0.242587119056243	471.65	0.0281892050148794
471.85	0.143310524137217	471.75	-0.0170667928675132
471.95	0.242755277590935	471.85	0.012550658142762
472.05	0.235556152015315	471.95	0.0601586601320296
472.15	0.26195219123506	472.05	-0.00731675075600189
472.25	0.261319009675583	472.15	0.0459453432689763
