E	P1	E	P2	E	P3	E	P4	E	P5							
463.1	0.0295497362356771	464.95	0	465.2	0	465.2	0.0339734476074824	465.1	0.00899650677068888
463.2	0.019737201583846	465.05	0	465.3	0	465.3	0.0454998082696801	465.2	0.00362963272091391
463.3	0.0112973932481225	465.15	0	465.4	0	465.4	0.0567587953779227	465.3	-9.5702586980196E-4
463.4	0.00423031122850687	465.25	0	465.5	0	465.5	0.0677504089322103	465.4	-0.00476346900145872
463.5	-0.00146404447500105	465.35	0	465.6	0	465.6	0.0784746489325428	465.5	-0.00778969667405638
463.6	-0.00578567386240121	465.45	0	465.7	0	465.7	0.0889315153789203	465.6	-0.0100357088875949
463.7	-0.00873457693369362	465.55	0	465.8	0	465.8	0.0991210082713428	465.7	-0.0161313968028665
463.8	-0.0103107536888783	465.65	0	465.9	0	465.9	0.10904312760981	465.8	-8.02291950907465E-4
463.9	-0.0105142041279552	465.75	0.0138542219798025	466	0	466	0.118697873394323	465.9	-0.00197800869915918
464	-0.00934492825092434	465.85	0.00923138871732347	466.1	0	466.1	0.12808524562488	466	-0.0145615375368065
464.1	-0.00680292605778574	465.95	0.0296506749873665	466.2	0	466.2	0.137205244301482	466.1	-0.0192214107756469
464.2	-0.00916582839400694	466.05	-0.0370661511682936	466.3	-2.38574167145596E-4	466.3	0.146057869424129	466.2	-0.0223784236668641
464.3	-0.00179563562422866	466.15	-0.0284786113628889	466.4	-4.68628057913772E-4	466.4	0.154643120992822	466.3	-0.0112635027016258
464.4	0.00767753324505999	466.25	-0.0317819185202416	466.5	-4.23078369506941E-4	466.5	0.162960999007559	466.4	2.4729859339939E-4
464.5	0.0154596870844907	466.35	-0.0114779776849096	466.6	-0.00109314609314609	466.6	0.171011503468341	466.5	0.00630726181916712
464.6	0.0255763277728576	466.45	0.00580201974829348	466.7	-3.77157877157879E-4	466.7	0.178794634375168	466.6	0.0245783978253638
464.7	0.0439214749271705	466.55	-0.037952498215274	466.8	0.00430320305320305	466.8	0.18631039172804	466.7	0.0204180160243794
464.8	0.0576203008785812	466.65	0.038976971019259	466.9	0.01157173139316	466.9	0.193558775526957	466.8	0.0235051290626974
464.9	0.0672979442966479	466.75	-0.0384810979473646	467	0.021378302003302	467	0.213168204205476	466.9	0.0162278114629162
465	0.0745368102560156	466.85	-0.0984883170635844	467.1	0.0252025100239386	467.1	0.226221025086056	467	0.00617616701870223
465.1	0.0813088884401025	466.95	0.0291177437855441	467.2	0.0240579570043856	467.2	0.234255922251462	467.1	-0.00936768589974151
465.2	0.0759216190994355	467.05	-0.0239368247118369	467.3	0.0223272161665019	467.3	0.246387083747479	467.2	-0.0116080291159593
465.3	0.0747438044891395	467.15	-0.0507043451058403	467.4	0.0205294787437645	467.4	0.259147907219391	467.3	-0.00365158937571185
465.4	0.0752428770518817	467.25	0.0306461109016676	467.5	0.0165431583288726	467.5	0.269161769256419	467.4	0.00493954911650259
465.5	0.0708914161860816	467.35	0.0139731128027016	467.6	0.0158953816989531	467.6	0.272824959994176	467.5	0.00753079402440585
465.6	0.0698892024806385	467.45	0.0747704722104132	467.7	0.0231457180564323	467.7	0.268698726176903	467.6	0.00789607246818859
465.7	0.0557096196101887	467.55	0.0679742357763357	467.8	0.0293943849300992	467.8	0.257738545690322	467.7	-0.0133304835172067
465.8	0.0371784668818311	467.65	0.101941300563893	467.9	0.037511170457599	467.9	0.251648710120091	467.8	-0.016916659706302
465.9	0.021001042563571	467.75	0.0463151224442323	468	0.0422904744333316	468	0.249639394767556	467.9	-0.0158905119748215
466	0.00742212862373653	467.85	0.00977567799533164	468.1	0.0389732501339644	468.1	0.247131486289446	468	-0.0223409334669549
466.1	0.00487170604785659	467.95	0.0374133104460612	468.2	0.0311045626224198	468.2	0.241748346685831	468.1	-0.0243465381136291
466.2	0.00125958925612153	468.05	0.0248947212217953	468.3	0.028127220448649	468.3	0.240846866836405	468.2	-0.0315051734896306
466.3	5.05159540401491E-4	468.15	-0.0672059613857495	468.4	0.0280388306281163	468.4	0.219746667967354	468.3	-0.0261352036947836
466.4	-0.00176011748073558	468.25	0.00788216798081319	468.5	0.0301414276414276	468.5	0.204903583496283	468.4	-0.0257871566698698
466.5	6.5817836993153E-4	468.35	0.0389235495592328	468.6	0.0384355653998511	468.6	0.191878040185716	468.5	-0.0119128381753871
466.6	0.00695660492122154	468.45	0.0458575909007051	468.7	0.0375956652742367	468.7	0.18220495305122	468.6	0.00130527330968594
466.7	0.0145610551161227	468.55	-0.025047766485654	468.8	0.0304438298188298	468.8	0.170995778563864	468.7	0.00453186291378233
466.8	0.015502749161312	468.65	0.128882561021585	468.9	0.024937410723125	468.9	0.168994412981429	468.8	0.0108467356188341
466.9	0.0260704769661227	468.75	-0.0768070651084071	469	0.0133463221231078	469	0.18250208349746	468.9	0.0154924453971443
467	0.0304885566496586	468.85	-0.0285089316510119	469.1	0.00367970187613045	469.1	0.183976878510705	469	0.0127741337701053
467.1	0.0325116098031116	468.95	-0.0689966230578572	469.2	9.12792457435313E-4	469.2	0.16766850021405	469.1	0.014542847012827
467.2	0.0376406260236874	469.05	-0.0273572419767544	469.3	-0.00523001899787614	469.3	0.167200067358471	469.2	-0.00233765390233737
