E	P3	E	P4	E	P5
466.1	-0.0494980111305267	466.1	0.11765987927383	462.8	0.00264785325087688
466.2	-0.0739304805391971	466.2	0.113909732080256	462.9	0.0168378703464319
466.3	-0.0931248491958395	466.3	0.110777389931233	463	0.0302973201841343
466.4	-0.107081117100454	466.4	0.108262852826763	463.1	0.0430262027639843
466.5	-0.11579928425304	466.5	0.106366120766845	463.2	0.0550245180859818
466.6	-0.119279350653599	466.6	0.105087193751478	463.3	0.0662922661501268
466.7	-0.117521316302129	466.7	0.104426071780664	463.4	0.0768294469564192
466.8	-0.110525181198631	466.8	0.104382754854402	463.5	0.0866360605048592
466.9	-0.0821080531717011	466.9	0.104957242972692	463.6	0.0957121067954467
467	-0.0468250112055283	467	0.106149536135534	463.7	0.104057585828182
467.1	-0.0236543997861622	467.1	0.107959634342929	463.8	0.111672497603064
467.2	0.0104054787175458	467.2	0.115880580556473	463.9	0.118556842120094
467.3	0.0291724575844561	467.3	0.125196601321155	464	0.124710619379272
467.4	0.0323837750019357	467.4	0.131386066285404	464.1	0.130133829380597
467.5	0.0227242269335414	467.5	0.138252230541947	464.2	0.134826472124069
467.6	0.00937810221920568	467.6	0.140355160787169	464.3	0.138788547609689
467.7	-0.00532434340970556	467.7	0.135739666676596	464.4	0.142382957558146
467.8	0.0119977049429796	467.8	0.134129799437097	464.5	0.146435044939655
467.9	0.0232546036258381	467.9	0.13146787498871	464.6	0.144501164020615
468	0.033182204669166	468	0.131605419365221	464.7	0.140721766740621
468.1	0.0382915722863903	468.1	0.134128644205297	464.8	0.142019906928613
468.2	0.0371132981447376	468.2	0.137781422561201	464.9	0.139315538844726
468.3	0.0386686861639452	468.3	0.144072023952316	465	0.141555701829772
468.4	0.0499272918371879	468.4	0.147054221347392	465.1	0.145183242389043
468.5	0.0442117322264605	468.5	0.142731603137842	465.2	0.1397259143606
468.6	0.0384452244197721	468.6	0.148152487508511	465.3	0.129935068773976
468.7	0.0358224173876579	468.7	0.152543711776787	465.4	0.130420534111602
468.8	0.0443880331026894	468.8	0.149776074264881	465.5	0.127552700453069
468.9	0.0551061569842128	468.9	0.14912301365347	465.6	0.116821773514128
469	0.063776088405613	469	0.153022548882371	465.7	0.111997811506763
469.1	0.0538794832015459	469.1	0.153842282820287	465.8	0.105109227522131
469.2	0.05203756282826	469.2	0.157167565832211	465.9	0.0977967248223493
469.3	0.0263920023448558	469.3	0.160885558742107	466	0.103373639135527
469.4	-0.00262766996946526	469.4	0.15812874539241	466.1	0.113833163096009
469.5	-0.0286084851020137	469.5	0.154493112755042	466.2	0.11219525667224
469.6	-0.0418828749820801	469.6	0.149470692695807	466.3	0.112267549887463
469.7	-0.0423216954807606	469.7	0.142433865445786	466.4	0.114568187893757
469.8	-0.0317731155546788	469.8	0.140013284670035	466.5	0.115251099449694
469.9	-0.0388362694074767	469.9	0.138898450965908	466.6	0.111762724927089
470	-0.0520454759180803	470	0.135831790856374	466.7	0.113146263473473
470.1	-0.0428774438145612	470.1	0.136103083093981	466.8	0.105586569368471
470.2	-0.0258266562907989	470.2	0.135114423727151	466.9	0.0940603107548438
470.3	-0.0147334404140602	470.3	0.128650591130354	467	0.0919338576098801
